Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
0,SHITOMASI,BRISK,MAT_BF,SEL_KNN,23.2113,1370,125,1.6922,4.94066e-324,-1310888880,
1,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.674,1301,118,2.38361,0.572582,95,
2,SHITOMASI,BRISK,MAT_BF,SEL_KNN,19.0329,1361,123,2.70004,0.4976,88,
3,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.5754,1358,120,2.46418,0.474011,80,
4,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.4141,1333,120,2.47276,0.504259,90,
5,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.3743,1284,113,2.35766,0.485061,82,
6,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.2283,1322,114,2.39783,0.505657,79,
7,SHITOMASI,BRISK,MAT_BF,SEL_KNN,19.1049,1366,123,2.41572,0.517645,85,
8,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.4987,1389,111,2.39514,0.49399,86,
9,SHITOMASI,BRISK,MAT_BF,SEL_KNN,18.9119,1339,112,2.32474,0.463367,82,

0,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,17.9152,1370,125,1.92601,4.94066e-324,-1310888880,
1,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,17.4296,1301,118,1.61099,0.66595,115,
2,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,16.9892,1361,123,1.3233,0.450451,111,
3,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,16.7084,1358,120,1.39909,0.459657,104,
4,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,17.4174,1333,120,1.35412,0.451875,101,
5,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,20.2813,1284,113,1.3544,0.430586,102,
6,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,18.2097,1322,114,1.36647,0.416349,102,
7,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,18.1388,1366,123,1.54989,0.445755,100,
